strategy,date,total_value,daily_return,initial_value,Injection,P/L,P/L_percent,MaxDrawDown,SharpeRatio
TSLA策略,2026-05-15,1995.075309,0.000000,2000.00,0.0000,-4.924691,-0.002462,-0.002458,
TSLA策略,2026-05-18,1996.212562,0.000570,2000.00,0.0000,-3.787438,-0.001894,-0.004197,
TSLA策略,2026-05-19,2000.131810,0.001963,2000.00,0.0000,0.131810,0.000066,-0.006433,
TSLA策略,2026-05-20,1993.648982,-0.003241,2000.00,0.0000,-6.351018,-0.003176,-0.009653,
TSLA策略,2026-05-21,1988.769102,-0.002448,2000.00,0.0000,-11.230898,-0.005615,-0.023372,
TSLA策略,2026-05-22,2030.413566,0.020940,2000.00,0.0000,30.413566,0.015207,-0.012351,
TSLA策略,2026-05-26,2066.061027,0.017557,2000.00,0.0000,66.061027,0.033031,-0.003892,
TSLA策略,2026-05-27,2099.400390,0.016137,2000.00,0.0000,99.400390,0.049700,-0.012764,
TSLA策略,2026-05-28,2100.352368,0.000453,2000.00,0.0000,100.352368,0.050176,-0.012317,
TSLA策略,2026-05-29,2098.159987,-0.001044,2000.00,0.0000,98.159987,0.049080,-0.013348,
TSLA策略,2026-06-01,2105.459075,0.003479,2000.00,0.0000,105.459075,0.052730,-0.009915,
TSLA策略,2026-06-02,2093.762840,-0.005555,2000.00,0.0000,93.762840,0.046881,-0.015415,
TSLA策略,2026-06-03,2096.345488,0.001233,2000.00,0.0000,96.345488,0.048173,-0.014201,
TSLA策略,2026-06-04,2099.626096,0.001565,2000.00,0.0000,99.626096,0.049813,-0.012658,
TSLA策略,2026-06-05,2128.946506,0.013965,2000.00,0.0000,128.946506,0.064473,0.001130,
TSLA策略,2026-06-08,2081.656283,-0.022213,2000.00,0.0000,81.656283,0.040828,-0.021108,
TSLA策略,2026-06-09,2100.491959,0.009048,2000.00,0.0000,100.491959,0.050246,-0.012251,
TSLA策略,2026-06-10,2127.101729,0.012668,2000.00,0.0000,127.101729,0.063551,-0.001814,
TSLA策略,2026-06-11,2078.670328,-0.022769,2000.00,0.0000,78.670328,0.039335,-0.024541,
TSLA策略,2026-06-12,2013.780862,-0.031217,2000.00,0.0000,13.780862,0.006890,-0.054992,0.4813
TSLA策略,2026-06-15,1976.266742,-0.018629,2000.00,0.0000,-23.733258,-0.011867,-0.072596,-0.5752
TSLA策略,2026-06-16,2025.918932,0.025124,2000.00,0.0000,25.918932,0.012959,-0.049296,0.7142
TSLA策略,2026-06-17,2107.703497,0.040369,2000.00,0.0000,107.703497,0.053852,-0.010917,2.2916
TSLA策略,2026-06-18,2063.255428,-0.021088,2000.00,0.0000,63.255428,0.031628,-0.031775,1.3155
TSLA策略,2026-06-22,2021.000938,-0.020480,2000.00,0.0000,21.000938,0.010500,-0.051604,0.4773
TSLA策略,2026-06-23,2249.009412,0.112820,2000.00,0.0000,249.009412,0.124505,-0.000181,2.7748
TSLA策略,2026-06-24,2242.699330,-0.002806,2000.00,0.0000,242.699330,0.121350,-0.003386,2.6568
TSLA策略,2026-06-25,2254.404385,0.005219,2000.00,0.0000,254.404385,0.127202,0.001816,2.7188
TSLA策略,2026-06-26,2245.642140,-0.003887,2000.00,0.0000,245.642140,0.122821,-0.002078,2.5840
TSLA策略,2026-06-29,2239.882429,-0.002565,2000.00,0.0000,239.882429,0.119941,-0.004637,2.4833
TSLA策略,2026-06-30,2253.668185,0.006155,2000.00,0.0000,253.668185,0.126834,-0.001055,2.5656
TSLA策略,2026-07-01,2264.506737,0.004809,2000.00,0.0000,264.506737,0.132253,-0.001020,2.6194
TSLA策略,2026-07-02,2189.857529,-0.032965,2000.00,0.0000,189.857529,0.094929,-0.033951,1.8671
TSLA策略,2026-07-06,2210.219631,0.009298,2000.00,0.0000,210.219631,0.105110,-0.024968,2.0096
TSLA策略,2026-07-07,2176.236965,-0.015375,2000.00,0.0000,176.236965,0.088118,-0.039960,1.6820
TSLA策略,2026-07-08,2160.412389,-0.007272,2000.00,0.0000,160.412389,0.080206,-0.046941,1.5219
TSLA策略,2026-07-09,2173.877084,0.006232,2000.00,0.0000,173.877084,0.086939,-0.041001,1.6093
TSLA策略,2026-07-10,2175.361673,0.000683,2000.00,0.0000,175.361673,0.087681,-0.040346,1.5979
TSLA策略,2026-07-13,2153.183070,-0.010195,2000.00,0.0000,153.183070,0.076592,-0.050130,1.3939
TSLA策略,2026-07-14,2155.277986,0.000973,2000.00,0.0000,155.277986,0.077639,-0.049206,1.3909
TSLA策略,2026-07-15,2151.828251,-0.001601,2000.00,0.0000,151.828251,0.075914,-0.050728,1.3445
TSLA策略,2026-07-16,2149.556259,-0.001056,2000.00,0.0000,149.556259,0.074778,-0.051730,1.3085
TSLA策略,2026-07-17,2140.013068,-0.004440,2000.00,0.0000,140.013068,0.070007,-0.055940,1.2172
